
Series anuales. Hechos conocidos
Hechos conocidos por comunidades autónomas, tipología penal y  periodo.
Unidades: Hechos conocidos

,2015,
TOTAL NACIONAL,
    1. CONTRA LAS PERSONAS,223893.0,
    1.1.-Homicidios dolosos/asesinatos,964.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,302.0,
    1.2.-Lesiones,97012.0,
    1.3.-Malos tratos ámbito familiar,64118.0,
    1.4.-Otros contra las personas,61799.0,
    2. CONTRA LA LIBERTAD,78815.0,
    2.1.-Malos tratos habituales en el ámbito familiar,15676.0,
    2.2.-Otros contra la libertad,63139.0,
    3. LIBERTAD SEXUAL,9869.0,
    3.1.-Agresión sexual,1626.0,
    3.2.-Agresión sexual con penetración,1229.0,
    3.3.-Corrupción de menores o incapacitados,432.0,
    3.4.-Pornografía de menores,748.0,
    3.5.-Otros contra la libertad e indemnidad sexual,5834.0,
    4. RELACIONES FAMILIARES,9814.0,
    5. PATRIMONIO,1573983.0,
    5.1.-Hurtos,715469.0,
    5.2.-Robos con fuerza en las cosas,322705.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,100021.0,
    5.2.2.-Robos con fuerza en viviendas,115302.0,
    5.2.3.-Robos con fuerza en establecimientos,35959.0,
    5.3.-Robos con violencia o intimidación,64581.0,
    5.3.1.-Robos con violencia en vía pública,28949.0,
    5.3.2.-Robos con violencia en viviendas,3929.0,
    5.3.3.-Robos con violencia en establecimientos,5168.0,
    5.4.-Sustracción de vehículos,43170.0,
    5.5.-Estafas,165267.0,
    5.5.1.-Estafas bancarias,32837.0,
    5.6.-Daños,215519.0,
    5.7.-Contra la propiedad intelectual/industrial,2047.0,
    5.8.-Blanqueo de capitales,290.0,
    5.9.-Otros contra el patrimonio,44935.0,
    6. SEGURIDAD COLECTIVA,60090.0,
    6.1.-Tráfico de drogas,12069.0,
    6.2.-Contra la seguridad vial,45991.0,
    6.3.-Otros contra la seguridad colectiva,2030.0,
    7. FALSEDADES,19224.0,
    8. ADMÓN. PÚBLICA,535.0,
    9. ADMÓN. JUSTICIA,27538.0,
    10. ORDEN PÚBLICO,23160.0,
    11. LEGISLACIÓN ESPECIAL,192.0,
    12. OTRAS INFRACCIONES PENALES,9702.0,
    TOTAL INFRACCIONES PENALES,2036815.0,
ANDALUCÍA,
    1. CONTRA LAS PERSONAS,47420.0,
    1.1.-Homicidios dolosos/asesinatos,218.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,65.0,
    1.2.-Lesiones,19400.0,
    1.3.-Malos tratos ámbito familiar,14031.0,
    1.4.-Otros contra las personas,13771.0,
    2. CONTRA LA LIBERTAD,14587.0,
    2.1.-Malos tratos habituales en el ámbito familiar,2708.0,
    2.2.-Otros contra la libertad,11879.0,
    3. LIBERTAD SEXUAL,1701.0,
    3.1.-Agresión sexual,303.0,
    3.2.-Agresión sexual con penetración,172.0,
    3.3.-Corrupción de menores o incapacitados,98.0,
    3.4.-Pornografía de menores,136.0,
    3.5.-Otros contra la libertad e indemnidad sexual,992.0,
